quarter,CH,synth,gap
2018 Q2,13.013188157226532,12.793777463098282,0.21941069412824987
2018 Q3,13.020849132023034,12.778604935512451,0.24224419651058327
2018 Q4,13.024388785203682,12.925845277376329,0.09854350782735288
2019 Q2,13.027297835073817,13.049568556458738,-0.022270721384920478
2019 Q3,13.021120903184947,13.087435650852294,-0.06631474766734691
2019 Q4,13.041263023119747,13.09932113607295,-0.05805811295320318
2020 Q2,13.120737616571068,13.171212402150726,-0.05047478557965768
2020 Q3,13.132208045249616,13.194785872193725,-0.06257782694410885
2020 Q4,13.178670933144945,13.320861959776101,-0.14219102663115635
2021 Q2,13.187250723945244,13.28614356694711,-0.09889284300186674
2021 Q3,13.184236883040615,13.27609337220358,-0.0918564891629643
2021 Q4,13.223459788275655,13.192022337821948,0.03143745045370672
2022 Q2,13.214806651559092,13.197822763763977,0.016983887795115393
2022 Q3,13.21236367744313,13.291039091808134,-0.07867541436500325
2022 Q4,13.135940637840854,13.302263784123095,-0.16632314628224165
2023 Q2,13.079862666294177,13.367985985117635,-0.2881233188234571
2023 Q3,13.077826488073951,13.368937218105081,-0.2911107300311304
2023 Q4,13.13066730813976,13.34047516380307,-0.2098078556633105
2024 Q2,13.105569695607846,13.347660632063317,-0.24209093645547064
2024 Q3,13.133834809212484,13.423197237519675,-0.28936242830719117
2024 Q4,13.130802422285472,13.396998630977057,-0.26619620869158567
